timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701436616857,1279,CourseAdmissionRequest-0,301,Moved Permanently,BugresistanceUsers 1-50,text,true,,348,138,120,120,https://www.bugresistance.com/courseadmission,1279,0,0
1701436616669,1511,IndexRequest,200,OK,BugresistanceUsers 1-90,text,true,,2154,262,120,120,https://bugresistance.com/index.html,252,0,167
1701436618137,71,CourseAdmissionRequest-1,200,OK,BugresistanceUsers 1-50,text,true,,1816,134,120,120,https://bugresistance.com/courseadmission,71,0,0
1701436616669,252,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-90,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,252,0,167
1701436616922,1258,IndexRequest-1,200,OK,BugresistanceUsers 1-90,text,true,,1816,129,120,120,https://bugresistance.com/index.html,1258,0,672
1701436617010,1170,IndexRequest,200,OK,BugresistanceUsers 1-110,text,true,,2154,262,120,120,https://bugresistance.com/index.html,955,0,459
1701436615381,2798,IndexRequest,200,OK,BugresistanceUsers 1-14,text,true,,2154,262,120,120,https://bugresistance.com/index.html,1023,0,662
1701436617010,955,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-110,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,955,0,459
1701436615381,1023,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-14,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,1023,0,662
1701436617966,214,IndexRequest-1,200,OK,BugresistanceUsers 1-110,text,true,,1816,129,120,120,https://bugresistance.com/index.html,213,0,142
1701436616405,1774,IndexRequest-1,200,OK,BugresistanceUsers 1-14,text,true,,1816,129,120,120,https://bugresistance.com/index.html,1774,0,463
1701436615838,2340,IndexRequest,200,OK,BugresistanceUsers 1-41,text,true,,2154,262,120,120,https://bugresistance.com/index.html,571,0,205
1701436615838,571,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-41,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,571,0,205
1701436615821,2357,IndexRequest,200,OK,BugresistanceUsers 1-40,text,true,,2154,262,120,120,https://bugresistance.com/index.html,587,0,224
1701436616409,1769,IndexRequest-1,200,OK,BugresistanceUsers 1-41,text,true,,1816,129,120,120,https://bugresistance.com/index.html,1769,0,467
1701436615821,587,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-40,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,587,0,224
1701436615312,2866,IndexRequest,200,OK,BugresistanceUsers 1-2,text,true,,2154,262,120,120,https://bugresistance.com/index.html,1096,0,742
1701436616408,1770,IndexRequest-1,200,OK,BugresistanceUsers 1-40,text,true,,1816,129,120,120,https://bugresistance.com/index.html,1770,0,469
1701436615312,1096,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-2,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,1096,0,742
1701436616552,1617,IndexRequest,200,OK,BugresistanceUsers 1-83,text,true,,2154,262,120,120,https://bugresistance.com/index.html,892,0,517
1701436616409,1769,IndexRequest-1,200,OK,BugresistanceUsers 1-2,text,true,,1816,129,120,120,https://bugresistance.com/index.html,1769,0,467
1701436616552,892,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-83,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,892,0,517
1701436617447,722,IndexRequest-1,200,OK,BugresistanceUsers 1-83,text,true,,1816,129,120,120,https://bugresistance.com/index.html,722,0,209
1701436616585,1551,IndexRequest,200,OK,BugresistanceUsers 1-85,text,true,,2154,262,120,120,https://bugresistance.com/index.html,609,0,514
1701436616822,1314,IndexRequest,200,OK,BugresistanceUsers 1-99,text,true,,2154,262,120,120,https://bugresistance.com/index.html,784,0,236
